Run,Open (µs),Write (µs),Read (µs),Close (µs)
1,780.9,201.6,29.9,238.2
2,718.5,199.7,24.7,155.6
3,1052.2,615.6,57.8,398.3
4,1982.8,452.9,50.2,297.6
5,2190.4,390.2,23.6,358
6,1879.9,345.7,41.2,280.7
7,2044.2,777.4,153.4,276.6
8,1704.2,977.7,66.4,341.7
9,1230.4,443.3,358.1,320.6
10,1960,454.8,45.4,301.3
11,1689.4,352.5,31.6,438.8
12,1860.6,363.1,44.6,275.9
13,1399.1,235,30.2,192
14,1754.9,298.9,37.1,263.2
15,1966.1,374.2,43.5,267.9
16,1635.4,451.1,99.9,298.3
17,1940.7,307.3,46.5,380.2
18,2292.7,493.3,257.6,245
19,944.1,183.8,19.9,140.9
20,1215,308.4,43,295.5
21,1852.7,415,97.7,198.7
22,1688.4,322.2,50.5,405.8
23,825,319.7,37.8,338.8
24,1155.6,157.4,19.9,119.1
25,1696.6,371.4,33.4,149.9
26,1223.6,305,162.8,290.6
27,1383.2,200.4,25.9,196.6
28,1083.2,198.2,22.2,224.6
29,653.3,296.5,36.5,321.6
30,1522.2,397.2,47.1,285.7
31,1880.1,316.9,40.2,185.1
32,669.8,192.8,21.7,246.9
33,1212,228.1,28.7,169.1
34,2024.9,313,53.1,463.4
35,1427.1,297.7,33.8,226.4
36,1314.6,298.3,36.6,272.5
37,995.6,158.7,79.3,119.6
38,1316.9,322,36.1,258.8
39,1270.4,284.1,89.2,469.6
40,1267.8,217.2,22.6,130.1
41,1114.7,181.4,20.4,145.6
42,478.8,134.3,17,102
43,1385.7,269.8,35.8,345.6
44,1330.8,355.8,45.4,309
45,1272.1,260,32.5,314.2
46,1348.5,415.5,119.2,225.6
47,668.5,172.2,120.8,296.6
48,1693.6,368.6,38.1,228.2
49,1440.1,294.3,36.3,216.2
50,1007.5,157.7,20.5,113.5
51,1748,375.4,38.1,242.1
52,1448.3,400.4,135,298.1
53,768.5,299.7,37.6,238
54,1141.5,363.5,48.4,226.9
55,1303.1,282.7,34.7,274.5
56,1172.7,195.9,20.9,166
57,1010.9,325,24.1,154.5
58,862.2,1027.7,41.6,260
59,708.4,463.4,44.2,271.3
60,1103.4,274.3,31.1,147.9
61,1265.9,305.5,38.6,244.1
62,1562.7,375.7,37.2,259.5
63,463.6,141,19.2,108.2
64,1420.5,288.8,34,227.3
65,639.7,193,181.6,432.5
66,535.1,188.9,25.2,98.1
67,1759.6,301.3,36.5,328.4
68,778.7,155.2,21.2,116.1
69,472,125.9,16,121.5
70,1513.5,300.5,34.2,482.7
71,1247.5,338.2,27.7,162
72,1038,144.1,21.1,114.8
73,602.8,272.2,157,261.5
74,1268.3,190.1,112.8,137.1
75,666.7,314.4,35.4,220.9
76,1112.2,197.5,18.3,118.4
77,1242.7,130.4,78.7,151.6
78,1519.8,165.1,18,204.2
79,1241.7,159.5,16.5,115.7
80,697,277.5,32,307.7
81,1373.8,298.6,105,329.6
82,610.7,246.9,133.9,290.3
83,840.7,353.8,150.6,249.3
84,981.6,408.3,135.8,276.9
85,716.2,376.6,32.2,224.9
86,1016.7,261.6,31.2,478.7
87,1542.1,341.6,42.1,295
88,1356.7,292.3,102.1,324.9
89,1394.8,172.6,19.6,376.8
90,590.4,212.2,20.2,173
91,628.2,153.3,16.7,106.1
92,940.9,353,46.2,251
93,1030.8,306.9,35.2,260.2
94,725.1,189.3,24.5,146.7
95,1335.4,272.4,32.2,219.6
96,682.5,357.3,38.6,214.2
97,823,178.6,123.2,262.1
98,1146.3,322.5,33.6,302.9
99,957.5,386.5,46.6,496.3
100,1501.3,383.5,38.8,303.8
101,737.2,184.3,20,230.7
102,1565.9,162.3,16.8,118.5
103,807.2,142.2,17.7,109.2
104,767.3,298.4,34.4,167.4
105,1246.6,262.1,39.1,687
106,562,160,18.7,112.8
107,756.6,254.8,26.6,164.3
108,1036.2,336.2,69.8,166.9
109,1497.4,293.6,24.4,232.3
110,1526.4,351.6,40.9,247.6
111,1118.7,393.3,41.5,205.4
112,1690,306,40.5,255.2
113,1039.5,150.4,18.3,110.3
114,1277.6,188.4,21.8,196.2
115,429.4,121.4,15.8,104
116,812,342.8,45.5,299.4
117,1119.8,183.5,22.1,128
118,633.9,185,23.6,274.6
119,1112.9,209.4,25.7,153.4
120,1040.5,309.2,29.5,195.1
121,575.2,191.1,24.4,134.5
122,1146.2,285.1,33.6,261
123,1387.9,545.7,27,250.9
124,992.5,293.8,28.2,130
125,1282.9,233,28.1,385.7
126,960.9,207.2,26.1,156
127,936.5,307,27.9,192.2
128,913.9,170.4,19.8,119
129,786.6,187.2,26.2,160.4
130,1165.3,305.8,39.2,244.4
131,1275.4,240.5,30.3,163.2
132,1117.8,321.8,38.4,215.6
133,688.3,173.3,20.7,121.4
134,676.1,290,36.3,221.3
135,1285.9,288.8,34.8,292.8
136,1293,274.6,34.3,370
137,1594.2,292.5,36,257.6
138,1543.2,337.3,29.1,199.8
139,1035.3,412.2,39.4,254.2
140,1206.6,310.2,37,242.7
141,1544.6,301.4,33.5,217.8
142,614.7,134,18.1,114.9
143,592.9,278.4,34.1,214.2
144,828.9,318.3,37.1,218.7
145,1210.4,266.6,26.8,138.9
146,783.2,150.2,18.3,168.6
147,625.6,304.3,34.3,237.5
148,854.7,171,67.5,110.6
149,477.4,123,16.9,98.9
150,578.8,179,20.3,156
151,1237.4,322,28.5,164.7
152,598.6,155.4,94.4,252.3
153,1762.3,237.8,27,224.7
154,1727,785.2,38.8,309.6
155,1350.4,347,39,259.6
156,1251.7,202.4,32,156.5
157,568.9,320.8,35.3,337.4
158,973.9,183.9,22.8,123.4
159,1048.5,230.8,380,507.2
160,923.5,237.8,28.2,163.4
161,1459,317.1,35.6,255.4
162,1228.7,776.3,118.6,580.1
163,1136.5,305.5,35.5,306.8
164,770.2,298.3,34.6,235.5
165,1180.1,225.3,26.7,204
166,1121.4,394.9,38.7,255.6
167,1273.1,256.3,34.2,306
168,1354.4,364.3,32.1,203.1
169,1098.8,271.4,33.8,241.9
170,1163,385,46.1,258.6
171,1561.9,993.7,32.3,965.1
172,1208.5,302.9,39.4,232.8
173,1394.6,338.9,39,494.2
174,1800.2,433.8,42.8,397.7
175,1573.6,369.8,38.7,241
176,2004.3,254.4,29,348.4
177,1455.6,246,50.1,254.9
178,1140.9,316.7,38.1,273.3
179,1297.4,328.9,39.9,358
180,2333.9,494.4,60.2,301.6
181,3076.9,364.5,39.3,1334.1
182,1508.4,254.9,33.3,190.6
183,1956.3,335.4,37.3,394.1
184,1594.8,330,32,171.6
185,2213.6,527.4,47.3,551
186,1297.2,225.2,28.1,486.9
187,2451,357.4,40.6,438.2
188,1444.6,300.4,38.3,257.1
189,1588.6,326.6,45.4,284.4
190,1515.9,512.3,88.3,275.7
191,1149.8,769.1,127.3,185.9
192,1410.2,290.5,36.9,216.8
193,1234.8,232.8,25.4,157
194,1161.2,398.7,36.1,291.9
195,1754.7,240.4,26.9,318.5
196,1176.6,325.8,37,251.2
197,1352.5,310.7,38.2,239.9
