Run,Open (µs),Write (µs),Read (µs),Close (µs)
1,429.900,143.400,15.100,119.400
2,368.000,180.200,13.700,243.700
3,1509.900,216.200,21.100,170.700
4,2355.400,177.800,15.600,394.400
5,655.600,357.900,37.800,251.800
6,830.400,557.100,38.000,382.900
7,779.500,264.000,22.200,141.200
8,1534.600,480.400,38.300,247.100
9,1743.600,302.400,168.900,229.300
10,2535.000,632.700,39.600,276.100
11,1320.200,153.100,16.100,180.600
12,584.300,151.400,18.400,407.100
13,1857.100,298.100,30.600,288.700
14,1505.300,273.800,18.300,128.600
15,671.500,153.800,14.400,160.700
16,920.800,326.500,36.400,315.000
17,599.600,195.400,14.900,223.400
18,1967.900,165.800,14.900,112.700
19,1645.000,179.300,17.300,116.500
20,507.700,158.700,142.700,271.700
21,1765.500,171.000,15.100,117.600
22,391.500,111.800,13.200,306.100
23,668.000,465.600,25.400,489.100
24,806.600,140.400,13.000,151.200
25,545.300,114.500,13.400,152.100
26,1166.100,177.800,56.300,111.600
27,833.000,116.100,13.900,96.700
28,446.400,335.500,131.200,267.400
29,378.300,119.600,14.400,120.100
30,561.100,142.000,12.400,89.900
31,426.800,152.000,14.600,107.500
32,963.700,342.600,15.300,115.900
33,887.500,131.100,13.700,137.000
34,448.400,143.300,13.700,212.000
35,965.000,139.300,14.500,105.900
36,1281.600,257.300,17.500,121.400
37,935.700,372.200,29.000,223.300
38,919.100,385.600,26.700,199.700
39,514.000,128.900,13.600,102.100
40,1149.800,117.000,13.000,132.900
41,1293.600,123.400,13.600,284.500
42,967.700,122.600,13.000,112.100
43,1113.900,176.000,215.800,244.100
44,927.800,324.900,31.200,391.800
45,1242.000,230.400,213.400,286.900
46,716.900,134.700,15.800,103.500
47,914.100,140.900,14.700,196.200
48,708.000,130.600,16.000,94.800
49,1546.600,129.100,14.800,99.700
50,1210.300,416.000,28.700,242.200
51,460.600,286.700,222.700,230.100
52,452.300,207.500,16.500,104.300
53,732.600,261.800,26.700,156.700
54,380.300,125.100,14.400,102.200
55,583.000,126.900,14.100,96.200
56,976.500,339.600,129.400,105.300
57,1237.600,126.900,13.100,78.400
58,514.300,334.700,15.000,140.300
59,591.700,147.900,163.900,329.900
60,887.800,427.000,194.100,409.400
61,526.800,238.400,145.000,258.900
62,1092.700,511.600,30.300,252.900
63,1179.800,328.700,130.000,121.100
64,504.600,203.700,125.400,103.000
65,688.100,121.300,142.000,128.500
66,548.700,209.800,214.600,279.200
67,613.700,148.400,14.400,109.700
68,1041.000,366.700,28.700,202.400
69,975.400,348.500,120.300,220.800
70,398.300,233.000,15.300,117.200
71,376.100,337.000,19.300,113.000
72,680.400,178.000,15.000,109.000
73,379.000,124.200,112.600,359.600
74,665.200,118.500,13.800,100.600
75,1111.700,163.500,14.000,105.200
76,360.700,117.600,12.600,90.300
77,784.800,320.800,133.500,120.900
78,1264.900,132.500,14.000,103.300
79,423.300,421.800,57.700,296.700
80,1093.900,232.100,112.200,116.900
81,1270.700,243.800,26.600,272.400
82,431.200,123.800,14.800,301.600
83,1165.300,452.000,148.800,207.900
84,619.100,232.100,14.900,112.900
85,700.800,262.800,18.300,132.400
86,1146.600,168.300,13.600,153.600
87,748.800,138.900,124.100,167.600
88,473.600,114.800,12.800,102.300
89,1068.100,128.400,12.900,104.600
90,726.400,378.300,15.600,107.100
91,629.800,125.900,14.500,124.900
92,1168.100,324.100,129.000,108.900
93,595.900,190.700,124.000,103.200
94,1194.100,268.500,128.400,131.300
95,803.100,368.400,30.400,251.400
96,414.700,504.200,93.600,203.000
97,1103.900,145.400,14.000,121.500
98,474.500,406.700,28.000,228.600
99,966.500,141.100,15.000,144.100
100,450.700,114.000,13.600,90.700
101,863.000,134.600,14.100,105.700
102,1109.400,126.400,15.000,140.500
103,1421.100,273.500,15.700,162.200
104,960.900,146.600,14.500,162.700
105,539.400,127.900,126.200,191.600
106,617.400,121.400,14.200,90.300
107,767.900,135.500,13.200,82.000
108,1009.600,372.500,124.300,133.000
109,533.600,211.800,128.000,108.700
110,762.700,307.500,27.900,208.900
111,884.900,348.600,122.600,232.200
112,1230.500,141.700,16.800,99.600
113,681.900,310.000,17.100,335.000
114,887.900,121.800,14.500,111.200
115,617.200,381.200,124.000,233.900
116,474.500,334.100,25.500,145.900
117,571.500,142.200,14.100,105.200
118,482.900,125.200,118.700,221.000
119,727.000,117.000,13.400,141.700
120,381.500,123.800,14.800,119.200
121,534.900,365.200,14.300,96.900
122,777.700,244.800,105.600,111.100
123,639.400,132.400,14.400,123.300
124,491.300,116.400,13.000,95.500
125,698.100,123.700,13.300,97.900
126,1143.500,434.600,38.600,294.300
127,467.900,263.300,130.100,110.200
128,943.600,131.100,13.300,103.500
129,809.000,134.500,11.600,89.100
130,845.500,126.200,12.200,89.900
131,329.000,169.500,128.900,92.400
132,795.700,184.900,278.100,251.700
133,959.000,132.000,14.100,125.200
134,496.800,134.900,15.300,316.000
135,633.900,120.900,13.600,333.800
136,976.600,366.600,112.200,221.600
137,392.500,145.800,14.500,71.800
138,946.600,560.200,113.900,222.500
