Run,Open,Write,Read,Close
1,1147.7,273.8,82.6,411.8
2,966.5,178.9,30.1,307.1
3,1448.5,225.1,33.5,362.4
4,1045.3,189.5,33.4,594.1
5,1324.8,232,188.2,570.2
6,772.3,143.6,24.6,507.8
7,1319.5,423.8,120.6,814.7
8,1275.9,280.7,91,278.3
9,804.7,265.4,37.4,453
10,1045.5,205.7,35,520.1
11,1034.6,141,23.2,264.1
12,548.6,110.9,178.2,661.8
13,1308.8,203.1,34.2,257.4
14,981.2,182.8,32.3,358.8
15,1177.6,224.5,36.7,427.4
16,1076.4,269.1,40.9,373.9
17,932.1,185.9,32.6,259.6
18,946,183.8,32.4,250
19,1392,472.5,140.8,324.1
20,959.6,185.6,31,431.1
21,1342.8,209.6,27.8,369.6
22,882.9,186,30.4,313.7
23,1220,187.7,44.9,369.5
24,931.8,196,38.8,370.6
25,582.8,130.3,21.9,215.8
26,599.2,131.1,20.3,214
27,943.1,431.4,27.6,212.9
28,1234.1,289.9,34.5,441.7
29,1188.9,374,28.9,359.9
30,1628.1,271.4,46.1,353.1
31,1024.5,226.2,37.1,458.4
32,937.7,144.2,25.4,437.9
33,1160.4,227.7,36.1,237.7
34,1262.5,159.2,25.3,395.8
35,692.8,523.5,49.7,745.3
36,1074.9,148.5,24,267.4
37,631,341.7,43.9,405.7
38,1050.6,248.8,35.9,278.5
39,984,198,35.3,406.8
40,1132.8,164.6,23.6,351.9
41,1173.4,296.1,126.2,400.6
42,1330.5,364,38.3,311.4
43,954.1,139.7,21.5,167.6
44,1108.8,382.8,91,178.5
45,600.2,254.3,145.7,548
46,1001.1,204.9,32.8,440.3
47,1092.7,208.7,34.9,316.3
48,598.8,125.9,20,148.9
49,480,140.5,13.9,287.2
50,1020.2,276.4,40.1,331.4
51,1160.9,259.7,33.5,295
52,581.1,123.1,16.4,220.3
53,924.6,192.5,30.7,502.2
54,1171.4,569.9,48,290.6
55,959,142.4,23.4,170.9
56,595.4,297.9,39.6,355.6
57,1022.6,230.3,32.4,969.5
58,1366.8,242.1,35.9,327.1
59,1032.3,275.2,32.3,230.6
60,855.8,291,40,441.7
61,918.3,193.8,31.2,275.2
62,954.1,189.4,32.8,337.6
63,817.9,176.8,29,231.7
64,1085.6,179.2,129.4,249.2
65,989.2,274.9,33.5,393.4
66,1225.8,215,32.1,290.9
67,950.1,183.9,23.8,388.7
68,596,290.3,39.9,281.5
69,759.3,355.5,42.6,428.5
70,1056.2,262.2,33.7,319.2
71,812.2,236.8,120.1,409.4
72,830.1,292,26.4,379.9
73,1076,203.3,31.2,347.6
74,935.6,202.9,33.3,377
75,1180.3,316,41,370.3
76,1062.8,187.2,33,378.5
77,1082.9,197.1,31.7,318.4
78,852.2,184.5,31.6,227.1
79,992.1,282.4,29.4,240.5
80,969.8,173,28.1,219.2
