Run,Open (µs),Write (µs),Read (µs),Close (µs)
1,1563.700,232.300,25.300,204.900
2,630.800,639.700,169.500,336.100
3,1942.500,344.500,36.100,198.500
4,1708.300,361.800,37.100,375.000
5,1419.300,1704.500,36.400,293.900
6,1656.800,569.200,418.900,672.500
7,1587.200,562.800,262.500,1392.900
8,1732.100,355.900,41.900,531.800
9,1649.800,355.400,42.100,323.600
10,2168.500,392.700,213.800,331.600
11,1498.000,451.100,37.900,289.100
12,1253.500,306.100,28.500,199.400
13,1774.400,397.800,36.200,316.100
14,2101.400,602.900,65.800,377.500
15,1078.300,228.000,152.700,217.300
16,976.200,386.100,45.300,271.500
17,1418.700,520.500,46.600,321.900
18,1210.200,982.000,152.300,449.300
19,1321.000,317.800,30.300,260.900
20,1001.200,441.300,34.600,340.600
21,1058.700,381.300,27.100,196.000
22,695.900,472.500,32.900,153.600
23,996.400,379.100,17.200,109.200
24,749.900,225.500,18.400,122.500
25,1170.100,293.000,30.400,343.500
26,862.500,294.500,29.300,263.700
27,916.500,323.100,92.900,272.000
28,688.000,342.200,23.600,170.200
29,1173.600,239.400,121.000,245.000
30,1821.600,377.300,30.900,188.400
31,638.100,180.400,20.300,156.200
32,760.200,377.000,39.000,264.000
33,1213.600,278.600,32.700,490.800
34,1171.500,433.800,40.500,235.300
35,1020.300,452.100,293.600,282.200
36,1067.500,327.400,31.700,202.000
37,583.200,150.800,123.100,357.400
38,1021.300,277.000,33.200,275.400
39,1081.100,249.700,30.300,205.800
40,1083.500,366.400,37.400,329.100
41,1237.300,283.100,34.900,214.800
42,1241.500,365.000,33.200,228.200
43,1282.000,326.700,59.600,242.600
44,1133.600,431.800,40.000,271.500
45,1147.100,316.100,30.700,208.500
46,1272.000,361.700,38.700,240.300
47,1176.600,236.600,70.100,161.300
48,990.900,299.600,31.600,496.200
49,1250.200,300.000,33.900,233.100
50,1462.500,288.200,30.300,213.300
51,475.500,137.200,16.600,155.500
52,1129.900,285.100,29.400,209.100
53,1078.300,222.200,62.200,127.900
54,1152.100,326.800,37.700,253.300
55,1865.500,308.800,130.100,270.000
56,1254.700,174.600,17.000,317.400
57,1025.300,532.000,103.900,161.800
58,1332.900,358.600,34.800,219.000
59,559.800,137.100,17.000,167.700
60,1213.600,382.300,39.500,325.000
61,2071.600,368.200,31.800,266.300
62,1441.100,593.800,39.400,260.900
63,608.800,278.000,28.300,214.600
64,1179.000,296.600,30.200,211.300
65,959.800,362.900,41.000,258.400
66,1257.200,274.200,30.100,227.700
67,1107.100,289.500,31.200,221.700
68,1102.400,185.600,16.700,126.800
69,1365.200,293.600,29.500,243.200
70,630.700,213.900,25.500,106.700
71,574.300,193.000,15.600,109.200
72,915.900,129.200,14.500,285.600
73,769.400,113.300,16.200,167.000
74,656.600,348.700,35.800,256.300
75,2160.500,297.800,89.900,322.400
76,1142.600,330.000,33.100,252.000
77,985.000,321.300,86.100,284.100
78,605.000,434.700,16.800,119.400
79,869.800,345.400,17.500,116.900
80,591.900,121.400,15.100,103.100
81,1408.900,432.500,26.700,145.800
82,506.600,583.700,37.900,281.600
83,981.700,249.300,128.900,277.800
84,825.700,246.300,17.400,193.200
85,585.300,423.700,115.800,262.800
86,880.400,157.400,137.000,332.200
87,963.900,131.600,15.500,102.400
88,825.300,288.900,37.200,269.700
89,523.200,121.500,15.100,148.800
90,1123.800,335.900,31.200,245.300
91,1280.000,397.200,20.400,150.700
92,3018.200,310.900,30.800,452.600
93,1409.600,251.800,21.500,155.700
94,781.800,196.300,97.800,226.300
95,1405.200,204.700,21.700,382.000
96,846.300,263.100,43.200,270.800
97,1372.500,322.600,124.900,289.700
98,1366.500,275.000,26.000,168.300
99,1083.400,306.500,33.700,254.800
100,1083.600,300.000,31.200,231.600
101,1442.700,323.600,105.500,258.600
102,575.700,167.800,21.900,290.500
103,650.600,334.200,39.100,257.600
104,1259.700,394.300,35.600,259.100
105,1297.500,794.200,27.900,186.900
106,930.400,358.500,56.700,487.000
107,1397.800,392.100,70.500,281.300
108,849.100,391.200,23.900,151.300
109,1217.900,566.400,63.600,239.800
110,897.400,356.200,33.700,243.800
111,1134.600,233.300,134.900,211.200
112,853.400,219.400,112.000,190.100
113,642.800,262.100,21.700,834.500
114,2347.900,846.100,28.300,437.200
115,1110.500,183.800,173.500,183.700
116,1640.200,703.100,47.900,551.100
117,1523.800,263.100,33.600,229.500
118,948.800,514.500,40.700,268.600
119,1377.900,242.400,137.000,161.300
120,1372.700,452.300,31.100,231.700
121,898.200,334.000,26.300,171.200
122,2987.500,612.200,25.900,188.500
123,1036.900,314.100,32.300,387.400
124,876.100,389.700,40.000,296.100
125,1577.600,413.900,41.100,423.100
126,889.100,264.400,25.500,161.500
127,1629.300,653.400,41.300,252.500
128,1103.000,482.900,40.000,388.800
129,1369.100,189.400,127.600,206.400
130,1065.500,406.000,22.600,175.800
131,1169.400,371.000,27.700,181.600
132,3611.600,1331.000,206.000,304.000
133,2057.400,509.000,79.500,324.800
134,2134.800,414.100,42.700,479.700
135,1129.400,336.000,65.300,180.700
136,3401.800,2182.800,32.100,315.800
137,1092.800,202.400,73.900,269.600
138,1039.800,195.700,130.800,293.200
139,1420.200,236.400,106.600,273.000
140,887.700,217.900,126.000,270.600
141,1045.100,382.600,27.500,350.000
142,1379.600,440.100,36.000,174.900
143,1334.300,301.600,33.400,326.200
144,1199.600,346.100,25.900,148.500
145,565.000,156.700,21.200,134.300
146,692.100,224.800,21.300,139.100
147,1477.500,429.600,33.400,267.000
148,975.900,480.300,24.800,161.800
149,1481.800,271.500,33.500,324.900
150,785.400,236.500,143.800,276.800
151,1323.900,315.700,33.800,157.000
152,714.600,200.700,71.900,148.700
153,1166.500,153.500,16.900,243.200
154,1380.200,284.100,32.700,350.000
155,855.000,389.200,32.200,232.900
156,1254.600,351.500,30.800,336.300
157,1126.500,269.400,30.700,212.000
158,960.200,289.500,32.300,322.400
159,2547.400,255.800,74.800,161.900
160,1120.000,283.800,29.300,272.600
161,692.500,211.900,23.000,140.900
162,987.700,183.700,20.000,129.400
163,642.500,217.300,18.800,119.800
164,1163.000,508.500,28.700,387.200
165,1272.700,243.000,21.300,166.500
166,923.600,164.900,19.800,118.200
167,1469.600,354.200,30.800,230.900
168,985.300,266.700,32.400,154.300
169,920.900,267.400,28.100,219.600
170,1055.600,246.500,29.300,320.800
171,1118.400,254.300,29.900,244.200
172,1225.900,453.400,32.300,262.500
173,1057.100,382.600,28.300,247.400
174,933.400,280.900,31.600,287.900
175,1489.800,292.600,29.500,210.900
176,1203.400,321.600,31.300,305.200
177,919.100,357.000,149.300,267.400
178,1103.900,395.500,31.000,206.700
179,1470.800,329.100,32.000,278.200
180,1189.800,430.400,112.000,225.900
181,1023.600,289.000,33.400,392.600
182,983.100,312.200,29.900,206.100
183,1137.500,358.700,38.700,356.700
184,1525.800,295.400,118.600,248.100
185,1519.700,299.000,28.500,200.100
186,933.200,362.100,206.900,284.000
187,893.400,496.200,30.400,221.500
188,1282.500,295.900,31.700,221.500
189,1337.700,459.100,25.900,189.000
190,1187.000,389.000,30.800,275.200
191,947.800,261.100,32.600,152.900
192,1528.700,380.200,32.900,215.100
193,1700.200,428.100,37.000,249.800
194,1332.200,296.000,30.800,217.300
195,640.800,350.500,32.700,290.200
196,1151.100,264.900,31.400,378.100
197,1029.900,233.000,25.300,169.000
198,760.100,164.900,21.700,132.500
199,580.000,240.000,60.000,157.700
200,696.000,287.200,32.600,227.300
201,678.600,264.600,94.100,187.500
202,612.400,320.700,30.600,213.300
203,1175.300,255.500,68.000,158.100
204,1162.700,281.500,26.600,192.400
205,812.300,166.200,18.400,132.400
206,654.100,311.800,28.300,214.800
207,1090.700,288.900,31.700,230.400
208,1046.300,224.500,19.700,133.800
209,776.700,221.900,15.800,110.700
210,667.900,395.600,29.800,207.600
211,1005.300,314.200,30.600,227.200
212,1095.500,287.000,29.400,251.200
213,868.400,243.000,27.600,213.400
214,1154.600,248.500,28.500,213.600
215,954.000,371.200,31.200,214.500
216,1011.200,373.400,32.600,755.900
217,1738.900,420.500,35.200,277.200
218,1401.400,266.400,27.200,198.300
219,1331.500,261.900,30.800,230.300
220,1097.400,276.000,30.000,247.900
221,937.900,234.700,27.700,202.500
222,1039.600,316.800,108.700,164.700
223,1333.500,228.500,23.400,337.500
224,1110.000,290.200,29.900,213.300
225,889.300,355.800,26.400,399.100
226,1528.200,310.900,32.500,249.000
227,1052.400,268.900,35.000,241.400
228,2441.000,370.700,200.800,337.700
229,1270.900,288.200,32.400,160.700
230,1220.000,312.400,31.500,219.600
231,939.300,320.200,33.500,219.100
232,1028.600,273.200,29.600,225.800
233,967.000,368.300,31.800,233.300
234,1700.800,713.200,94.000,338.500
235,1025.700,384.100,35.300,249.700
236,1088.100,464.000,39.200,248.300
237,1407.200,307.700,30.300,228.800
238,1365.600,325.100,31.500,250.500
239,1489.100,219.000,20.900,152.900
