Run,Open (µs),Write (µs),Read (µs),Close (µs)
1,1159.500,145.400,16.100,141.400
2,499.600,157.600,15.600,546.500
3,1155.100,188.400,17.800,125.700
4,2139.400,625.100,33.300,292.000
5,1893.300,185.900,15.800,164.900
6,1545.800,363.800,194.100,298.800
7,1333.300,441.400,58.600,434.000
8,740.500,244.900,26.400,168.800
9,2154.100,398.000,127.000,296.000
10,1566.000,259.700,21.300,1121.900
11,782.400,279.700,28.100,229.200
12,814.100,268.800,216.500,414.800
13,1114.900,501.800,40.100,221.900
14,2123.700,342.800,83.700,266.800
15,1065.700,417.500,86.200,113.900
16,1419.200,176.100,14.000,292.400
17,1272.800,144.900,14.500,125.400
18,1044.600,199.400,13.700,149.000
19,2207.900,576.900,39.600,270.600
20,1329.700,162.400,18.200,110.100
21,910.300,220.700,14.600,110.900
22,1899.900,277.200,28.800,241.800
23,667.200,154.400,15.000,126.500
24,739.100,330.400,144.300,104.600
25,976.000,401.600,36.200,295.200
26,1485.800,150.900,16.600,78.600
27,613.600,160.900,16.900,357.800
28,895.500,360.900,29.700,222.700
29,2123.200,680.200,29.700,231.000
30,1964.200,290.400,30.100,214.200
31,1355.600,439.800,28.100,206.200
32,2504.700,3995.300,212.200,307.700
33,1987.100,507.700,22.000,152.000
34,1194.400,294.400,76.600,105.200
35,570.300,128.900,12.800,81.300
36,779.500,126.600,22.300,473.200
37,734.400,600.300,256.700,359.100
38,534.600,143.300,15.400,97.600
39,1432.400,312.200,188.100,237.700
40,1685.800,134.500,16.100,326.900
41,1077.800,130.900,13.200,132.200
42,462.200,126.200,14.400,305.700
43,1436.400,210.200,137.700,140.900
44,595.700,347.200,36.100,475.600
45,661.800,374.900,30.400,270.800
46,916.700,186.300,14.900,207.900
47,855.700,124.600,14.300,181.400
48,861.600,207.300,149.800,102.600
49,894.800,111.900,12.500,133.600
50,426.900,113.100,12.400,73.800
51,378.500,352.500,35.800,260.200
52,761.700,238.500,193.300,239.400
53,921.700,101.500,14.400,97.100
54,1289.500,227.000,134.300,120.900
55,1294.500,131.700,13.200,109.900
56,1509.100,126.400,13.200,134.000
57,437.000,123.200,13.900,349.500
58,1462.200,249.500,147.500,124.000
59,1066.000,131.500,14.100,110.000
60,553.800,144.800,14.600,107.200
61,554.200,430.200,40.700,240.500
62,622.500,253.600,26.700,215.600
63,454.100,336.000,26.400,234.400
64,810.000,251.200,81.000,116.800
65,435.200,114.600,13.700,227.800
66,561.900,113.500,14.800,109.500
67,529.600,117.900,13.100,184.400
68,612.000,138.700,14.400,104.500
69,359.900,257.900,124.800,109.000
70,1024.600,120.500,128.300,160.100
71,1153.700,134.300,14.100,94.300
72,780.200,185.600,15.600,101.800
73,1078.500,155.700,14.100,107.200
74,1234.500,400.200,183.900,107.100
75,1424.100,165.200,16.300,116.400
76,781.400,200.600,16.400,101.200
77,493.700,116.700,15.100,99.500
78,754.800,281.600,35.800,216.600
79,534.400,366.600,21.600,133.000
80,536.000,278.800,170.600,108.500
81,991.800,229.200,166.400,273.200
82,950.000,132.200,13.500,98.700
83,445.000,108.100,13.300,103.700
84,1115.600,142.700,15.100,211.500
85,858.600,189.700,11.500,92.500
86,918.000,131.000,15.200,146.700
87,579.800,128.700,12.300,89.700
88,664.500,291.800,18.800,131.600
89,641.200,129.500,13.200,88.100
90,356.800,107.000,12.400,417.800
91,554.200,114.900,12.600,94.900
92,952.700,451.000,63.400,222.600
93,1526.800,274.700,139.800,109.900
94,1640.900,153.200,15.700,108.400
95,631.400,137.400,13.700,177.900
96,429.300,115.300,13.200,93.500
97,606.700,150.700,13.800,265.300
98,655.600,263.000,14.600,328.100
99,580.600,123.300,14.500,98.100
100,540.400,366.400,33.700,179.700
101,782.500,301.500,74.700,113.400
102,543.600,148.400,12.900,209.500
103,414.800,180.200,15.400,148.900
104,616.900,124.500,14.000,91.300
105,1176.200,136.700,14.500,366.900
106,465.900,201.600,167.300,254.000
107,594.000,134.600,14.900,100.100
108,473.500,189.100,13.000,107.000
109,1195.600,137.000,14.000,100.100
110,1049.200,404.900,37.500,267.200
111,776.200,191.700,15.400,308.900
112,1010.100,134.500,13.600,97.800
113,1201.800,391.800,110.100,260.100
114,871.400,367.400,13.900,99.600
